_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-34.732638032201244,GO:0009987,cellular process,M1,1,GO:0008283 cell population proliferation
1,-30.28347201821065,GO:0032502,developmental process,M1,1,GO:0007507 heart development
1,-27.041329269567587,GO:0050896,response to stimulus,M1,1,GO:0009725 response to hormone
1,-26.691591904259216,GO:0002376,immune system process,M1,1,GO:0002520 immune system development
1,-23.811125545850597,GO:0023052,signaling,M1,1,GO:0007167 enzyme-linked receptor protein signaling pathway
1,-22.72795988226468,GO:0050789,regulation of biological process,M1,1,GO:0010564 regulation of cell cycle process
1,-21.40382486323981,GO:0043473,pigmentation,M1,1,GO:0043473 pigmentation
1,-21.37613991570605,GO:0040007,growth,M1,1,GO:0048589 developmental growth
1,-20.56148420468614,GO:0008152,metabolic process,M1,1,GO:0051052 regulation of DNA metabolic process
1,-19.086502134523304,GO:0032501,multicellular organismal process,M1,1,GO:0003013 circulatory system process
1,-18.733834368878593,GO:0048518,positive regulation of biological process,M1,1,GO:0051054 positive regulation of DNA metabolic process
1,-15.04337159756238,GO:0065007,biological regulation,M1,1,GO:0060249 anatomical structure homeostasis
1,-14.89223290398544,GO:0040011,locomotion,M1,1,GO:0030335 positive regulation of cell migration
1,-14.754646936313744,GO:0051179,localization,M1,1,GO:0033365 protein localization to organelle
1,-14.58653519843451,GO:0048519,negative regulation of biological process,M1,1,GO:0008285 negative regulation of cell population proliferation
1,-12.308090081707583,GO:0022414,reproductive process,M1,1,GO:0048608 reproductive structure development
1,-11.71042666047248,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0002237 response to molecule of bacterial origin
1,-8.022695131163411,GO:0048511,rhythmic process,M1,1,GO:0048511 rhythmic process
1,-6.616062457404016,GO:0051703,biological process involved in intraspecies interaction between organisms,M1,1,GO:0051703 biological process involved in intraspecies interaction between organisms
1,-6.283504805062755,GO:0110148,biomineralization,M1,1,GO:0070166 enamel mineralization
1,-3.0242695982349557,GO:0016032,viral process,M1,1,GO:0016032 viral process
