,Reality,bagmlp,minibagmlp
146,1.0,0.9941969370843063,0.9999505386120138
276,0.0,0.07975240412558773,0.0018866650716425014
298,0.0,0.00014334729072756103,0.0018306804669586106
427,1.0,0.9960586321006698,0.9007276504015163
415,1.0,0.9989365701878551,0.2937319276476369
395,1.0,0.722009668142398,0.9999984268707717
271,0.0,0.9999121059673918,0.9999999997643483
99,1.0,0.946181079523298,0.9752699370704772
202,0.0,0.5126676700925012,0.9863026128826471
266,0.0,0.008515637508333111,0.0018313087152586637
431,1.0,0.9902659546150634,0.9999997449687601
327,1.0,0.9999999971309828,0.9999999999959668
436,1.0,0.9999281620897396,0.9999999999999833
51,1.0,0.9997821953480754,0.9999999988128125
152,0.0,0.010549338872850898,0.7166411611280492
98,0.0,0.0026275557316136704,0.001830680883013679
106,0.0,0.0003130071401726457,0.0018306890896482527
150,0.0,1.1423502195907442e-05,0.0018306804668836666
233,1.0,0.9999599999700483,0.9999999999999873
453,1.0,0.9892737742372544,0.48260423813113223
26,0.0,0.6394414095236473,0.9999999999999813
358,1.0,0.9929685177267251,0.899559734253962
113,0.0,0.6601541365710484,0.014705081720102653
440,1.0,0.9999517769066839,0.9999998991412091
206,0.0,0.004519762335828533,0.0018306804676209737
166,0.0,0.007654623446969773,0.0018316121420407366
455,1.0,0.9999999903588371,1.0
357,0.0,0.6739842163360505,0.13599870148176085
356,1.0,0.9999979489342585,0.8882930791289414
333,0.0,0.024118919417161246,0.09996867460968457
251,1.0,0.9971605456877993,0.9999999840663051
296,0.0,0.06651560607199872,0.0018309102379207528
295,0.0,0.003767654365579208,0.08894655264210469
172,0.0,0.0024543301219356645,0.001830687464812867
222,0.0,1.519474854846853e-06,0.0018306804668836694
126,0.0,0.025457756196376375,0.02797302831979523
75,0.0,0.06390009845673573,0.36860273387751924
179,0.0,0.06980361171285812,0.4181627592888054
342,0.0,1.7466881335583146e-05,0.0018306804717358773
225,1.0,0.9991505751645422,1.0
220,1.0,0.9940370070993912,0.9941267477457758
72,0.0,0.005868753638059222,0.0018307701108864244
130,0.0,0.6475710545780554,0.001830692785465286
282,0.0,0.001221231031096606,0.001830682464812769
343,1.0,0.9041167203847531,0.7775590726285816
290,0.0,0.9988453241494168,0.21709193495459536
116,0.0,0.000268465121668638,0.0018306804668999862
